,SMILES,refcode,spacegroup,density,temperature,pressure,label
0,O=C(O)c1ccc(Cn2cnc3ccccc32)cc1,ABADIS,P21/c,1.358,293.0,,racemic
1,O=C(O)c1ccc(Cn2cnc3ccccc32)cc1,ABADIS01,P212121,1.32,293.0,,chiral
2,C[Si]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[Si]1(C)C,ABIBAO,Fdd2,1.179,296.0,,racemic
3,C[Si]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[Si]1(C)C,LUMJAE,I41,1.145,296.2,,chiral
4,C1=NC2CCCCC2N=Cc2cc3cc(c2)-c2ccc(cc2)-c2cc4cc(c2)C=NC2CCCCC2N=Cc2cc5cc(c2)-c2ccc(cc2)-c2cc(cc(c2)C=NC2CCCCC2N=C3)C=NC2CCCCC2N=Cc2cc1cc(c2)-c1ccc(cc1)-c1cc(cc(c1)C=NC1CCCCC1N=C5)C=NC1CCCCC1N=C4,ABIMEG,C2/c,1.1360000000000001,100.0,,racemic
5,C1=NC2CCCCC2N=Cc2cc3cc(c2)-c2ccc(cc2)-c2cc4cc(c2)C=NC2CCCCC2N=Cc2cc5cc(c2)-c2ccc(cc2)-c2cc(cc(c2)C=NC2CCCCC2N=C3)C=NC2CCCCC2N=Cc2cc1cc(c2)-c1ccc(cc1)-c1cc(cc(c1)C=NC1CCCCC1N=C5)C=NC1CCCCC1N=C4,ABILUV,P3121,1.174,100.0,,chiral
6,C1=NC2CCCCC2N=Cc2cc3cc(c2)-c2ccc(cc2)-c2cc4cc(c2)C=NC2CCCCC2N=Cc2cc5cc(c2)-c2ccc(cc2)-c2cc(cc(c2)C=NC2CCCCC2N=C3)C=NC2CCCCC2N=Cc2cc1cc(c2)-c1ccc(cc1)-c1cc(cc(c1)C=NC1CCCCC1N=C5)C=NC1CCCCC1N=C4,ABINAD,R-3,1.047,350.0,,racemic
8,OC1COC(O)C(O)C1O,ABINOR02,P21/c,1.675,75.0,,racemic
9,OC1COC(O)C(O)C1O,ABINOS02,P212121,1.666,123.0,,chiral
10,OC1COC(O)C(O)C1O,XYLOSE03,P212121,1.541,123.0,,chiral
11,OC1COC(O)C(O)C1O,ZZZSEA02,P212121,1.536,293.0,,chiral
12,OC1COC(O)C(O)C1O,ABINOR03,P21/c,1.675,75.0,,racemic
16,OC1COC(O)C(O)C1O,ABINOR04,P21/c,1.677,75.0,,racemic
20,OC1COC(O)C(O)C1O,ABINOR05,P21/c,1.672,175.0,,racemic
24,COCOc1ccc2c3c(ccc(OC)c13)C1(C=CC(=O)c3c(OC)cccc31)C2c1ccccc1C(C)=O.COCOc1ccc2c3c(ccc(OC)c13)C1(C=CC(=O)c3c(OC)cccc31)C2c1ccccc1C(C)=O,ABUQIZ,P-1,1.3880000000000001,173.0,,racemic
25,COCOc1ccc2c3c(ccc(OC)c13)C1(C=CC(=O)c3c(OC)cccc31)C2c1ccccc1C(C)=O.COCOc1ccc2c3c(ccc(OC)c13)C1(C=CC(=O)c3c(OC)cccc31)C2c1ccccc1C(C)=O,ABUQOF,P21,1.344,173.0,,chiral
26,CC(O)CN1CSCSC1,ACAMUN,Pc21n,1.365,293.0,,racemic
27,CC(O)CN1CSCSC1,ACAMUN01,P21,1.352,293.0,,chiral
28,CC[Si](CC)(CC)OC12CC(=O)C(Br)=CCC1C(C)(C)OC2=O,ACEXUD,P21/n,1.4040000000000001,293.0,,racemic
29,CC[Si](CC)(CC)OC12CC(=O)C(Br)=CCC1C(C)(C)OC2=O,NUSVAA,P21,1.344,293.0,,chiral
30,C(=Nc1ccc(N=Cc2cccnc2)cc1)c1cccnc1,ACICAR01,P21/c,1.301,200.0,,racemic
31,C(=Nc1ccc(N=Cc2cccnc2)cc1)c1cccnc1,ACICAR,P21,1.336,293.0,,chiral
32,NNC(=O)c1ccncc1.Nc1ccc(C(=O)O)cc1.Nc1ccc(C(=O)O)cc1,ACUDEK01,P21/c,1.367,292.3,,racemic
33,NNC(=O)c1ccncc1.Nc1ccc(C(=O)O)cc1.Nc1ccc(C(=O)O)cc1,ACUDEK,P21,1.364,293.2,,chiral
34,Nc1nc(=O)[nH]cc1F,ADAJAT,P21/n,1.6520000000000001,298.0,,racemic
35,Nc1nc(=O)[nH]cc1F,ADAJAT01,P41212,1.54,298.0,,chiral
36,Nc1nc(=O)[nH]cc1F,MEBQEQ01,P41212,1.6580000000000001,150.0,,chiral
